territory,price,price_point_id
TCD,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJUQ0QiLCJwIjoiMTAwNzUifQ
THA,199.0,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJUSEEiLCJwIjoiMTAwNTkifQ
TJK,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJUSksiLCJwIjoiMTAwODgifQ
TKM,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJUS00iLCJwIjoiMTAwNzUifQ
TON,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJUT04iLCJwIjoiMTAwNzUifQ
TTO,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJUVE8iLCJwIjoiMTAwNzUifQ
TUN,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJUVU4iLCJwIjoiMTAwNzUifQ
TUR,299.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJUVVIiLCJwIjoiMTAyNDMifQ
TWN,190,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJUV04iLCJwIjoiMTAwNTEifQ
TZA,17900.0,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJUWkEiLCJwIjoiMTAxNTQifQ
UGA,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJVR0EiLCJwIjoiMTAwODgifQ
UKR,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJVS1IiLCJwIjoiMTAwODgifQ
URY,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJVUlkiLCJwIjoiMTAwNzUifQ
USA,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJVU0EiLCJwIjoiMTAwNzUifQ
UZB,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJVWkIiLCJwIjoiMTAwODgifQ
VCT,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJWQ1QiLCJwIjoiMTAwNzUifQ
VEN,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJWRU4iLCJwIjoiMTAwNzUifQ
VGB,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJWR0IiLCJwIjoiMTAwNzUifQ
VNM,199000,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJWTk0iLCJwIjoiMTAxNjAifQ
VUT,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJWVVQiLCJwIjoiMTAwNzUifQ
XKS,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJYS1MiLCJwIjoiMTAwODgifQ
YEM,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJZRU0iLCJwIjoiMTAwNzUifQ
ZAF,119.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJaQUYiLCJwIjoiMTAxMzMifQ
ZMB,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJaTUIiLCJwIjoiMTAwODgifQ
ZWE,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJaV0UiLCJwIjoiMTAwODgifQ
